Filename,Title,Start Page (Bookmark),End Page (Bookmark),Arranger,Genres,Tags,Books,Reference,Rating,Difficulty,Minutes,Seconds,keysf,keymi
03_Fingering_Neighbors_Ex-4.pdf,03_Fingering_Neighbors_Ex-4,,,,,,,,0,0,,,,
03_Fingering_Neighbors_Ex-5.pdf,03_Fingering_Neighbors_Ex-5,,,,,,,,0,0,,,,
A la Puerta del Cielo.pdf,A la Puerta del Cielo,,,Dusty Thornburn,,,Lullabies Around the World,,0,0,,,,
A Midsummer's Night.pdf,A Midsummer's Night,,,Ellen Pratt,,,,,0,0,,,,
Aberystwyth 44 Em + Guitar.pdf,Aberystwyth 44 Em + Guitar,,,Dennis Martin Harris,,,,,0,0,,,,
Abide with Me - duet.pdf,Abide with Me - duet,,,,,,,,0,0,,,,
Adeste Fideles.pdf,Adeste Fideles,,,Ellen Pratt,Christmas,Christmas MultiPart,Pratt Christmas vol-1,2021,0,0,,,,
Allaire.pdf,Allaire,,,Unger - Mason - Johnston,Waltzes,"Proofing, TAB",Catskill Waltzes & Airs - Johnston,,0,0,,,,
Allunde.pdf,Allunde,,,Dusty Thornburn,,,Lullabies Around the World,,0,0,,,,
Amazing Grace - Fingerpicked.pdf,Amazing Grace - Fingerpicked,,,,,,,,0,0,,,,
Amazing Grace - G.pdf,Amazing Grace - G,,,,,,,,0,0,,,,
Amazing Grace - Seifert.pdf,Amazing Grace - Seifert,,,Stephen Seifert,,,Join the Jam I,,0,0,,,,
Amid the Rivers and Streams.pdf,Amid the Rivers and Streams,,,Unger - Mason - Johnston,Waltzes,"Proofing, TAB",Catskill Waltzes & Airs - Johnston,,0,0,,,,
Angel We Have Heard on High 2.pdf,Angel We Have Heard on High,,,Melanie Johnston,,,Christmas On the Dulcimer - Johnston,,0,0,,,,
Ashokan-Farewell_SMN-and-TAB.pdf,Ashokan-Farewell_SMN-and-TAB,,,Jay Unger,"American, Dance",,,Mel’s tef repo,5,2,0,34,2,0
Big Scioti (arr01: Tull).pdf,Big Scioti (arr01: Tull),,,Tull Glazener,"Breakdown, Fiddle, Old-Time, Traditional","Key:D, Multipart, W&S",,,0,0,,,,
Cherokee Shuffle (arr04: Seifert 4-Part).pdf,Cherokee Shuffle (arr04: Seifert 4-Part),,,Johnston & Seifert,"Bluegrass, Breakdown, Old-Time","Key:D, Multipart, W&S",,,0,0,,,,
Cherokee Shuffle (SMN).pdf,Cherokee Shuffle (SMN),,,Seifert,,SMN,,,0,0,,,,
Medhel an Gwyns *.pdf,Medhel an Gwyns *,,,Melanie Johnston,,,,,0,0,,,,
Metadata-Reference-Document.pdf,Metadata Reference Document,,,Composer or Arranger,"genre2, genre3, Genres","tag2, tag3, Tags","book2, book3, Books",Reference ,4,2,,44,6,1
River (arr01: Johnston1).pdf,River (arr01: Johnston1),,,Melanie Johnston,Folk,"Key:D, W&S",,,0,0,,,,
River (arr02: Muller).pdf,River (arr02: Muller),,,Heidi Muller,Folk,Key:D,,,0,0,,,,
What Child Is This.pdf,What Child Is This,,,Ellen Pratt,Christmas,Christmas MultiPart,Pratt Christmas vol-1,2021,0,0,,,,
Waltz in A Minor.pdf,Waltz in A Minor,,,Frederic Chopin,Waltzes,Sample Score,,Musescore,,,,,,
Zelda.pdf,Zelda,,,,,,,,0,0,,,,
